Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day
Gpa,2,512,20109,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,107.06907567797815,2024-4-11_toxgreen
RD17,2,512,6832,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,36.37654408632685,2024-4-11_toxgreen
Gpa,1,512,27367,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,113.73062377924614,2024-4-13_toxgreen
LWT11,1,512,10069,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,41.84432531272078,2024-4-13_toxgreen
NoTM,1,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,0.0,2024-4-13_toxgreen
RWT40,1,512,11444,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,47.55849229106928,2024-4-13_toxgreen
1G2,1,512,3509,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,14.582554128745375,2024-4-13_toxgreen
RD52,1,512,16285,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,67.67651581265844,2024-4-13_toxgreen
RC2,1,512,9333,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,38.78568757012842,2024-4-13_toxgreen
RWT39,1,512,13144,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,54.62328055520924,2024-4-13_toxgreen
RC1,1,512,8714,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,36.213273490420974,2024-4-13_toxgreen
2F12,1,512,7926,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,32.93853634210198,2024-4-13_toxgreen
G83I,1,512,5624,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,23.37198188089598,2024-4-13_toxgreen
LD50,1,512,11138,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,46.28683040352408,2024-4-13_toxgreen
LC3,1,512,12501,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,51.95112828824337,2024-4-13_toxgreen
L8,1,512,12869,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,53.480447159539544,2024-4-13_toxgreen
YF9,1,512,15489,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,64.36853260191995,2024-4-13_toxgreen
RD39,1,512,13370,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,55.56248181855962,2024-4-13_toxgreen
LWT11,3,512,11363,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,47.22187590907202,2024-4-13_toxgreen
G83I,3,512,1573,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,6.537007023230686,2024-4-13_toxgreen
RWT39,3,512,13279,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,55.184307858538006,2024-4-13_toxgreen
L8,3,512,10942,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,45.47230187424677,2024-4-13_toxgreen
RD39,3,512,9949,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,41.34563437642854,2024-4-13_toxgreen
RC2,3,512,10057,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,41.79445621909155,2024-4-13_toxgreen
