xShift,crossingAngle,axialRotation,zShift,energy
9.1,28.0,-58.3333,4.025,-5.998832
9.1,28.0,-55.0,2.175,-4.923389
9.5,26.0,-91.6667,2.275,4.407485
9.5,26.0,-38.3333,2.375,7.11426
9.5,24.0,-51.6667,4.375,-4.443754
9.1,28.0,-61.6667,3.175,-5.823142
8.7,18.0,-61.6667,3.175,-9.757528
9.5,24.0,-13.3333,2.0,-4.880552
9.5,24.0,-91.6667,4.975,-1.613348
9.1,28.0,-95.0,6.825,-3.28772
9.5,28.0,-38.3333,3.725,3.478976
9.1,26.0,-50.0,6.15,-5.982527
8.9,20.0,-50.0,4.8,-5.516861
9.1,24.0,-51.6667,3.025,-3.798943
8.9,28.0,-108.333,6.125,-2.54223
9.5,24.0,-55.0,4.875,-4.492405
9.1,20.0,-61.6667,5.875,6.637805
9.1,24.0,-100.0,4.2,-2.770355
8.9,26.0,-8.33333,0.575,-6.87305
8.9,22.0,-51.6667,4.375,-5.810209
9.1,26.0,-55.0,2.175,-5.214296
9.1,26.0,-65.0,2.325,-5.616479
9.1,22.0,-48.3333,3.875,-1.179564
8.9,24.0,-70.0,1.05,2.768998
9.5,22.0,-55.0,4.875,-4.641308
8.9,24.0,-46.6667,5.65,5.364547
9.5,18.0,-61.6667,4.525,-4.691477
9.3,18.0,-116.667,4.0,0.557763
9.5,26.0,-43.3333,2.45,-1.537487
9.5,20.0,-100.0,5.55,-2.084914
9.3,24.0,-101.667,5.125,-3.546105
9.3,20.0,-98.3333,3.275,0.817341
9.1,26.0,-61.6667,4.525,-0.500365
8.7,20.0,-18.3333,0.725,4.302338
9.5,28.0,-61.6667,1.825,-4.399262
9.3,22.0,-95.0,5.475,-1.30777
8.9,24.0,-58.3333,4.025,-7.785996
9.5,26.0,-41.6667,1.525,1.481146
9.3,20.0,-55.0,3.525,-5.837002
9.3,26.0,-93.3333,5.9,-2.511975
9.1,18.0,-113.333,4.85,-0.957812
9.3,26.0,-111.667,6.625,-1.626489
9.3,22.0,-60.0,0.9,-5.57863
9.3,28.0,-56.6667,1.75,-5.05546
9.3,20.0,-103.333,4.7,-3.380652
9.1,28.0,-115.0,5.775,7.682335
8.5,24.0,-56.6667,3.1,-2.161165
9.5,26.0,-85.0,5.325,1.680048
9.1,24.0,-15.0,1.575,-4.786719
8.9,26.0,-108.333,4.775,-3.965666
9.5,24.0,-63.3333,4.1,-3.679296
9.3,22.0,-103.333,4.7,-3.498368
9.5,24.0,-48.3333,3.875,-4.105506
8.9,26.0,-55.0,4.875,-7.321216
9.1,22.0,-48.3333,2.525,2.078371
8.7,28.0,-13.3333,0.65,-4.567319
8.7,24.0,-108.333,6.125,4.991618
9.3,28.0,-108.333,3.425,-5.756656
9.5,24.0,-103.333,2.0,-3.84187
8.7,26.0,-58.3333,4.025,-8.031092
9.3,22.0,-96.6667,6.4,-2.67993
8.7,28.0,-106.667,5.2,-0.790465
8.7,26.0,-13.3333,0.65,-7.327736
8.9,20.0,-70.0,1.05,-0.870779
9.5,22.0,-40.0,6.0,-2.733633
9.5,18.0,-65.0,0.975,-4.902707
9.5,18.0,-113.333,6.2,0.966756
8.5,24.0,-55.0,6.225,-4.881704
9.3,22.0,-48.3333,5.225,-5.103847
8.7,18.0,-103.333,3.35,7.229058
9.5,22.0,-33.3333,5.0,8.030906
8.9,18.0,-63.3333,4.1,-2.996674
9.5,24.0,-21.6667,1.225,8.62366
9.1,28.0,-15.0,1.575,2.116421
8.7,28.0,-61.6667,1.825,-7.680922
9.1,18.0,-103.333,3.35,-3.259155
9.5,28.0,-16.6667,1.15,-3.249752
8.9,28.0,-96.6667,5.05,0.32368
9.5,28.0,-3.33333,0.5,-4.256215
9.5,26.0,-60.0,0.9,-4.446127
9.1,18.0,-45.0,6.075,-3.760762
9.1,20.0,-111.667,3.925,-4.006109
8.5,26.0,-63.3333,1.4,-7.793138
9.5,20.0,-71.6667,1.975,5.51461
9.1,18.0,-58.3333,5.375,-6.603127
8.7,24.0,-55.0,3.525,-5.108113
9.5,28.0,-96.6667,2.35,-1.554881
9.5,22.0,-113.333,3.5,-3.065462
9.5,18.0,-86.6667,4.9,6.409084
9.3,22.0,-116.667,4.0,0.525525
9.1,18.0,-45.0,4.725,2.950313
8.9,22.0,-53.3333,2.6,-2.771536
9.5,20.0,-63.3333,1.4,-4.778423
8.5,22.0,-8.33333,0.575,-2.946889
8.7,18.0,-15.0,1.575,-8.72975
9.5,22.0,-101.667,5.125,-2.327517
8.9,22.0,-15.0,0.225,-8.450091
9.3,24.0,-48.3333,2.525,-3.00241
8.5,24.0,-56.6667,4.45,-9.572772
8.9,26.0,-103.333,6.05,-5.304367
9.5,22.0,-110.0,7.05,-1.924012
8.5,18.0,-60.0,2.25,-12.579232
8.9,22.0,-58.3333,2.675,-8.18434
9.5,18.0,-50.0,3.45,-4.734623
9.3,24.0,-90.0,6.75,-0.124227
8.7,20.0,-60.0,2.25,-10.332026
8.9,24.0,-60.0,3.6,-7.648913
9.5,22.0,-41.6667,1.525,1.702624
8.7,24.0,-56.6667,5.8,-4.989634
9.1,28.0,-105.0,2.925,-6.134628
9.5,28.0,-55.0,0.825,-4.268279
9.5,20.0,-23.3333,0.8,9.397826
9.3,28.0,-90.0,5.4,0.018584
9.5,20.0,-40.0,1.95,3.831803
8.9,18.0,-103.333,3.35,-1.450171
9.5,28.0,-85.0,5.325,0.790901
9.5,18.0,-3.33333,0.5,-5.573395
9.3,24.0,-10.0,1.5,-6.118177
9.5,20.0,-101.667,5.125,-2.200467
9.3,28.0,-101.667,3.775,-5.276582
9.1,26.0,-63.3333,2.75,-5.93653
9.3,26.0,-51.6667,1.675,-4.237252
8.7,26.0,-108.333,3.425,-3.136568
9.5,20.0,-88.3333,4.475,3.661486
9.5,26.0,-56.6667,3.1,-4.441523
8.7,18.0,-55.0,6.225,-9.193035
9.1,22.0,-50.0,0.75,5.978913
