"","Distance","Angle","Z1","Z2","Rot1","Rot2"
"232",8.1332,19.182,0.873083,2.72188,6.54328,91.574
"233",11.1218,-42.9971,2.59839,0.890538,35.4398,97.6998
"234",11.0245,-43.1205,0.875969,2.66713,0.119564,33.8146
"235",11.0071,-43.5094,2.95556,1.1982,32.1752,99.0362
"236",8.27471,-37.2527,4.80265,4.60218,31.4661,78.3399
"237",8.40368,-38.1096,4.53526,4.54561,34.299,78.5794
"238",9.16597,34.858,3.71564,0.575506,38.3983,18.45
"239",7.05904,-43.9195,2.1234,1.07599,35.0338,73.0009
"240",7.57756,-22.5751,3.86461,0.0214145,63.1433,36.6024
"241",9.78415,6.80983,3.63597,0.0448623,40.9173,39.6397
"242",7.0462,-32.1239,2.00952,3.9289,75.8094,34.2771
"243",7.30715,-34.4232,3.52403,3.60764,41.1363,50.8399
"244",8.20496,-20.5887,1.31852,4.20934,0.993505,56.2975
"245",7.92691,-53.8788,0.95241,2.23548,91.8667,35.9286
"246",9.98613,39.301,4.60242,0.856132,72.1328,89.2125
"247",9.2263,23.1732,4.76489,5.51797,75.351,65.7513
"248",9.48862,19.3282,0.0418022,0.591914,12.874,3.33787
"249",8.97115,-64.5753,0.100944,0.595197,29.5639,33.6792
"250",8.55957,-55.1106,0.931827,5.09342,74.643,37.9248
"251",8.62519,-52.982,3.73644,2.09873,24.4051,70.2344
"252",8.06726,23.3153,3.98595,1.96357,36.0595,58.1545
"253",8.55974,-55.1142,0.932565,5.09371,74.6405,37.9268
"254",9.37511,35.5588,5.00119,2.50514,24.3082,4.40452
"255",9.20355,-52.0548,2.58046,2.83857,78.6151,26.6886
"256",8.88872,25.7451,3.73864,0.0303672,37.085,6.75019
"257",9.41479,53.9309,3.64372,3.03583,81.6026,76.8658
"258",7.36945,71.9061,0.587146,0.0754141,46.1408,35.9178
"259",7.33973,64.5414,2.66314,2.89511,27.3948,21.968
"260",7.43769,61.4397,2.98109,2.34318,23.9353,26.8552
"261",7.2294,68.5726,2.83398,2.93308,23.4044,21.4065
"262",7.50443,-47.9653,3.49373,5.15297,90.5775,18.4987
"263",9.63346,17.4,2.96994,3.91589,38.136,42.6436
"264",7.12571,-39.5109,2.42462,1.75301,34.0868,60.4627
"265",6.78449,-43.7932,0.584738,4.88052,29.8861,70.0178
"266",7.17545,-39.2784,2.26956,1.59136,32.7325,60.4253
"267",6.75952,-44.285,0.420636,4.70858,30.9961,70.2947
"268",8.91339,41.3117,2.88634,0.904763,17.9963,82.7563
"269",9.84979,17.2143,2.45043,1.3653,54.6726,45.6692
"270",6.9417,-40.5117,5.17451,2.95312,18.5267,96.6793
"271",10.8135,-16.476,3.49305,4.27519,99.8227,36.944
"272",10.1499,-14.0536,1.1403,1.97966,58.6879,53.2435
"273",9.52294,-11.6263,2.28765,4.8695,44.0909,73.2418
"274",10.5308,18.326,0.737277,0.0364403,51.6776,64.6227
"275",10.6585,15.6691,5.34869,0.270456,65.7477,52.3544
"276",7.98054,33.456,2.3145,5.9083,63.6823,69.121
"277",9.00983,29.4985,3.89859,5.6179,66.9835,76.0071
"278",8.46703,-36.7651,2.9131,2.70075,80.79,33.7862
"279",8.65804,21.688,5.13118,3.74031,69.563,89.1756
"280",8.04823,-57.9237,3.10847,3.70855,84.2283,28.8008
"281",10.2646,-48.7291,2.07569,3.55986,53.2432,48.2904
"282",10.2903,-47.1251,3.94067,2.34802,46.2779,52.5092
"283",10.287,-48.606,2.09882,3.47608,55.6645,48.9968
"284",10.2515,30.5396,3.05439,3.59129,63.5113,96.6444
"285",10.8405,50.1777,1.04867,1.92112,39.5678,52.7503
"286",7.20529,-64.9871,4.89959,3.59655,26.1568,60.2452
"287",7.68282,-53.4563,1.03641,4.67462,12.1098,86.757
"288",7.26243,28.7089,2.01657,4.49232,70.6227,16.6991
"289",8.78561,-40.6122,4.01156,1.96441,10.7715,96.6326
"290",8.07869,-50.2737,1.96454,2.73053,92.0444,22.7617
"291",7.628,-48.0267,2.4088,1.89539,36.6697,54.1734
"292",10.9092,-59.4622,3.17034,5.33652,60.2487,43.2342
"293",8.55891,33.0599,4.45729,3.26094,94.1676,81.8112
"294",9.21203,19.6062,3.0129,5.88201,45.1896,17.8276
"295",7.10205,-34.6214,5.96089,5.04828,37.3145,66.9265
"296",7.54589,-47.9222,0.89496,0.418493,41.9285,78.7749
"297",6.9967,-40.5156,2.59438,1.55494,28.4972,57.6097
"298",10.3427,-51.2259,2.50435,1.59376,88.2647,18.7907
"299",8.3497,-19.8258,1.67007,1.31238,63.0931,52.4172
"300",8.99308,-26.9459,0.731514,1.76187,55.5938,54.0993
"301",7.06418,-36.7584,3.71198,3.80744,43.393,30.9344
"302",9.08767,31.7039,5.01413,4.93555,70.6202,71.8224
"303",9.04764,24.1766,3.7941,2.68399,54.9435,25.2793
"304",7.07548,-40.1086,3.96138,2.56211,36.0785,61.2164
"305",8.5433,-23.6187,4.27556,5.63732,61.7383,30.6177
"306",9.18679,-68.7113,1.54466,2.00101,6.45904,23.3873
"307",8.93967,31.5698,1.69911,3.29235,8.34625,82.65
"308",8.62415,-73.2384,1.17495,0.219078,73.1685,44.7926
"309",8.64752,-76.1364,0.884943,0.0270211,73.7175,44.2375
"310",8.90491,25.3151,4.76096,3.11423,71.4234,81.1461
"311",7.15587,-40.063,1.1619,2.28461,59.2459,32.1046
"312",10.5829,-33.9332,2.33861,1.61827,19.8022,8.28028
"313",7.70968,-49.045,2.70239,4.20508,83.5965,19.8053
"314",8.51987,-51.0086,0.919286,3.00193,50.8584,68.9572
"315",10.6757,-34.2394,5.05296,0.326392,26.6815,75.9792
"316",9.94931,37.9401,5.98375,1.91905,19.7782,18.349
"317",9.94885,37.9439,1.91478,5.97929,18.3907,19.8153
"318",8.2236,18.7269,4.31186,0.318387,81.1428,59.506
"319",8.61509,-46.3999,1.93006,5.49111,8.92918,89.8782
"320",10.2202,-47.5071,0.464766,3.35409,89.2738,43.0172
"321",9.2972,15.9661,1.87186,0.971099,66.0518,63.3109
"322",7.77573,-71.4294,0.68908,3.76595,10.853,96.7052
"323",9.90069,24.4134,3.30943,0.913575,87.288,69.1394
"324",10.3229,-39.4496,5.38943,3.25583,98.3474,2.84017
"325",7.78139,-61.4661,0.506649,2.18199,96.3269,18.0729
"326",10.4086,-71.9897,0.745237,2.33628,18.8668,75.6592
"327",8.1278,-52.3664,1.71681,5.32362,16.521,92.8349
"328",7.86426,-58.2276,5.1253,0.945679,88.4001,8.8032
"329",8.8572,55.395,1.02317,5.27405,59.0788,47.4391
"330",10.142,-60.8325,0.0207001,5.00742,75.7072,38.6617
"331",8.38151,-36.7325,0.850297,2.28932,64.0759,28.1066
"332",8.37299,-65.6188,1.11569,3.29319,50.1628,65.9988
"333",7.72047,-51.047,3.8885,0.562105,90.2393,18.3185
"334",9.82465,-37.2326,0.435096,2.7227,39.3591,30.0537
"335",7.53025,-31.8269,5.80239,3.67738,16.7087,75.8685
"336",9.26806,33.5732,2.28941,1.29647,5.02683,3.11842
"337",8.1856,-44.4775,2.10474,1.53548,90.4477,26.9255
"338",9.03202,-43.5331,1.94508,1.42059,19.5281,85.1384
"339",8.61711,-40.0263,1.48926,0.780251,85.676,38.8487
"340",8.83743,-17.4371,5.76814,2.96197,67.2094,88.8698
"341",7.81891,49.5885,5.7734,3.12703,67.3493,88.7653
"342",8.29621,-29.9985,2.71728,3.69892,35.5219,79.9373
